q,status,sloth_ms,duck_ms
1,WIN,35,104
2,WIN,70,169
3,WIN,169,229
4,WIN,180,236
5,WIN,1071,1181
6,WIN,1245,1528
7,WIN,36,179
8,WIN,114,177
9,WIN,1258,1328
10,LOSS,1669,1605
11,WIN,405,412
12,LOSS,507,487
13,WIN,1159,1335
14,LOSS,4146,2832
15,WIN,1583,1807
16,WIN,1035,1228
17,LOSS,3729,3168
18,WIN,295,2345
19,WIN_DF,3916,99
20,WIN,75,231
21,WIN,3049,3537
22,LOSS,3227,2678
23,LOSS,6945,5451
24,WIN,1737,18503
25,WIN,208,304
26,WIN,565,682
27,WIN,203,311
28,WIN,1558,2968
29,TIMEOUT,30000,
30,WIN,116,210
31,LOSS,5269,1537
32,LOSS,15663,1921
33,TIMEOUT,30000,
34,WIN,7267,10924
35,WIN,6952,10311
36,WIN,910,1558
37,WIN_DF,203,150
38,WIN_DF,121,165
39,WIN_DF,118,173
40,WIN_DF,2624,120
41,WIN_DF,1485,113
42,WIN_DF,69,118
43,WIN_DF,1241,82
