q,sloth_ms,duck_ms,result
1,134.8,280.3,match
2,180.2,327.6,match
3,244.6,422.2,match
4,314.4,419.4,match
5,997.7,935.1,match
6,986.8,1424.0,match
7,98.4,296.2,match
8,159.6,249.5,match
9,1320.1,1138.7,match
10,1573.4,1355.8,match
11,455.1,479.7,match
12,464.5,523.5,match
13,943.8,1475.9,match
14,3902.8,2962.8,match
15,1312.6,1723.4,match
16,1004.4,1053.3,match
17,3671.3,3820.6,match
18,176.7,2615.7,DIFF
19,,9030.2,sloth-only-fail (TIMEOUT)
20,227.7,352.8,match
21,2515.5,2479.2,match
22,2659.7,2627.7,match
23,6260.4,4060.3,match
24,635.4,1024.0,match
25,172.1,506.5,match
26,463.7,666.4,match
27,172.0,336.1,match
28,2269.8,2297.7,match
29,,18653.9,sloth-only-fail (TIMEOUT)
30,165.8,323.2,match
31,5469.0,1229.2,DIFF
32,15186.9,1601.8,DIFF
33,,10044.8,sloth-only-fail (TIMEOUT)
34,6544.3,11329.3,match
35,6337.8,11727.6,match
36,959.3,1219.4,match
37,179.0,286.6,match
38,112.8,258.1,match
39,146.9,266.6,DIFF
40,1358.1,368.4,DIFF
41,136.5,252.8,DIFF
42,122.1,256.3,DIFF
43,1015.1,248.9,match
