file                                     status         parity/total   disagree  setup_ok
-----------------------------------------------------------------------------------------------
agg_func_substitute.slt                  ok             0/1            0         0
aggregate.slt                            ok             49/754         20        144
aggregate_repartition.slt                ok             0/4            0         0
aggregate_skip_partial.slt               ok             13/47          0         4
aggregates_simplify.slt                  ok             1/16           0         3
aggregates_topk.slt                      ok             0/21           0         0
alias.slt                                ok             0/0            0         4
array_agg_sliding_window.slt             ok             0/11           0         0
array_normalize.slt                      ok             0/18           0         0
array_query.slt                          ok             0/37           0         0
arrow_field.slt                          ok             0/21           0         0
arrow_files.slt                          ok             0/34           0         1
arrow_try_cast.slt                       ok             0/12           0         0
arrow_typeof.slt                         ok             0/42           0         0
async_udf.slt                            ok             0/4            0         0
avro.slt                                 ok             0/12           0         0
binary.slt                               ok             0/29           0         1
binary_view.slt                          ok             0/12           0         2
case.slt                                 SKIPPED       
cast.slt                                 ok             9/11           0         5
cast_extension_type_metadata.slt         ok             0/2            0         0
cast_to_type.slt                         ok             0/42           0         9
clickbench.slt                           ok             0/48           0         0
clickbench_extended.slt                  ok             0/7            0         0
coalesce.slt                             ok             3/44           0         0
copy.slt                                 ok             0/52           0         1
cosine_distance.slt                      ok             0/20           0         0
count_star_rule.slt                      ok             1/2            0         5
create_external_table.slt                ok             0/5            0         0
create_function.slt                      ok             1/2            0         0
cse.slt                                  ok             0/0            0         1
csv_files.slt                            ok             0/29           0         0
cte.slt                                  ok             2/32           3         7
date_bin_errors.slt                      ok             0/6            0         0
ddl.slt                                  ok             11/40          1         41
decimal.slt                              ok             25/144         2         2
delete.slt                               ok             0/0            0         1
describe.slt                             ok             1/2            0         2
dictionary.slt                           ok             0/18           0         3
dictionary_struct.slt                    ok             0/13           0         0
distinct_on.slt                          ok             0/9            0         0
dml_delete.slt                           ok             9/20           3         20
dml_update.slt                           ok             12/24          4         31
dynamic_file.slt                         ok             0/21           0         0
dynamic_filter_pushdown_config.slt       ok             0/15           0         0
eliminate_outer_join.slt                 ok             24/24          0         6
encoding.slt                             ok             0/23           0         0
encrypted_parquet.slt                    ok             0/7            4         1
errors.slt                               ok             0/2            0         1
explain.slt                              ok             0/0            0         4
explain_analyze.slt                      ok             0/4            0         2
explain_tree.slt                         ok             0/4            0         2
expr.slt                                 ok             129/362        16        2
filter_without_sort_exec.slt             ok             0/2            0         0
float16.slt                              ok             0/5            0         0
floor_preimage.slt                       ok             0/17           0         0
functions.slt                            ok             95/186         5         16
group.slt                                ok             0/25           0         0
group_by.slt                             ok             282/414        0         37
grouping.slt                             ok             0/15           2         0
grouping_set_repartition.slt             ok             0/3            0         0
ident_normalization.slt                  ok             3/5            0         5
identifiers.slt                          ok             0/11           0         0
imdb.slt                                 TIMEOUT        0/0            0         0
information_schema.slt                   ok             0/13           0         13
information_schema_columns.slt           ok             0/1            0         0
information_schema_multiple_catalogs.slt ok             0/2            0         6
information_schema_table_types.slt       ok             0/1            0         4
inner_product.slt                        ok             0/23           0         0
insert.slt                               ok             2/28           3         4
insert_to_external.slt                   ok             0/48           0         0
intersection.slt                         ok             2/4            0         0
issue_17138.slt                          ok             0/2            0         2
join_disable_repartition_joins.slt       ok             0/2            0         0
join_is_not_distinct_from.slt            ok             5/7            2         15
join_limit_pushdown.slt                  ok             0/10           0         0
join_lists.slt                           ok             0/2            0         0
join_only.slt                            ok             0/0            0         0
joins.slt                                ok             7/157          4         41
json.slt                                 ok             0/9            0         0
lateral_join.slt                         ok             0/49           0         0
lead_lag_extreme_offsets.slt             ok             0/7            0         0
limit.slt                                ok             10/51          5         1
limit_pruning.slt                        ok             0/2            0         4
limit_single_row_batches.slt             ok             0/1            0         0
list_view.slt                            ok             0/2            0         0
listing_table_partitions.slt             ok             0/15           0         0
listing_table_statistics.slt             ok             0/0            0         0
map.slt                                  ok             0/107          0         0
math.slt                                 ok             11/81          6         3
metadata.slt                             ok             0/47           0         0
misc.slt                                 ok             3/4            0         0
monotonic_projection_test.slt            ok             0/0            0         0
named_arguments.slt                      ok             1/21           0         0
nested_loop_join_spill.slt               ok             2/4            2         0
null_aware_anti_join.slt                 ok             0/20           0         2
nullif.slt                               ok             8/24           0         0
nvl.slt                                  ok             0/15           0         0
nvl2.slt                                 ok             0/8            0         0
operator.slt                             ok             1/13           0         0
optimizer_group_by_constant.slt          ok             0/0            0         0
options.slt                              ok             4/30           0         0
order.slt                                ok             10/68          5         3
parquet.slt                              ok             1/46           0         3
parquet_cdc.slt                          ok             0/17           0         2
parquet_filter_pushdown.slt              ok             0/32           0         0
parquet_sorted_statistics.slt            ok             0/3            0         0
parquet_statistics.slt                   ok             0/3            0         0
pipe_operator.slt                        ok             0/14           0         0
predicates.slt                           ok             2/63           1         8
prepare.slt                              ok             0/20           0         0
preserve_file_partitioning.slt           ok             0/27           0         0
projection.slt                           ok             4/12           0         0
projection_pushdown.slt                  ok             0/74           0         0
propagate_empty_relation_outer_join.slt  ok             6/6            0         6
push_down_filter_outer_joins.slt         ok             6/12           0         6
push_down_filter_parquet.slt             ok             0/9            0         0
push_down_filter_regression.slt          ok             0/11           0         0
push_down_filter_unnest.slt              ok             0/6            0         0
pwmj.slt                                 ok             0/9            9         8
qualify.slt                              ok             0/19           0         0
references.slt                           ok             0/7            0         0
repartition.slt                          ok             0/2            1         3
repartition_scan.slt                     ok             0/5            0         0
repartition_subset_satisfaction.slt      ok             0/10           0         0
run_end_encoded.slt                      ok             0/4            0         0
same_column_name_cross_join.slt          ok             0/4            4         6
scalar.slt                               ok             103/252        2         2
schema_evolution.slt                     ok             0/19           0         0
schema_evolution_nested.slt              ok             0/4            0         0
select.slt                               ok             41/132         3         4
set_variable.slt                         ok             0/5            0         0
simplify_expr.slt                        ok             0/9            0         0
simplify_predicates.slt                  ok             0/0            0         2
slt_features.slt                         ok             9/9            0         0
sort_merge_join.slt                      ok             0/66           0         3
sort_pushdown.slt                        ok             0/120          0         0
statistics_registry.slt                  ok             0/5            0         0
string_numeric_coercion.slt              ok             2/50           3         6
strings.slt                              ok             2/13           0         0
struct.slt                               ok             0/137          0         0
subquery.slt                             ok             9/93           0         12
subquery_sort.slt                        ok             0/4            0         0
table_functions.slt                      ok             9/64           1         0
to_timestamp_timezone.slt                ok             0/24           0         0
topk.slt                                 ok             0/11           0         0
truncate.slt                             ok             0/0            0         2
type_coercion.slt                        ok             0/9            0         0
union.slt                                ok             13/36          5         13
union_by_name.slt                        ok             0/30           0         8
union_function.slt                       ok             0/3            0         0
unnest.slt                               ok             0/98           0         1
update.slt                               ok             0/0            0         2
wildcard.slt                             ok             0/8            0         0
window.slt                               ok             12/275         6         31
window_limits.slt                        ok             0/30           0         0
window_topk_pushdown.slt                 ok             0/2            0         0
window_topn.slt                          ok             0/14           0         0
-----------------------------------------------------------------------------------------------
TOTAL parity 955/5607 (17.0%)  disagree 122  setup_ok_both 589  setup_fail_sloth_only 127  setup_fail_duck_only 17
files: 158  crashed: 0  timed_out: 1  skipped: 1  wall: 153s
